kkfls_lon,kkfls_lat,terra_lon,terra_lat,kkfln_lon,kkfln_lat
-151.55680601281543,59.62521254963881,-151.57277779007845,59.632014007091264,-151.55963132061913,59.6261163092081
-151.55688785641848,59.625137264837136,-151.5729310134064,59.63197706312689,-151.5597350477731,59.626048292863985
-151.5569697000215,59.62506198003546,-151.57308423673433,59.63194011916251,-151.55983877492704,59.62598027651987
-151.55705154362457,59.62498669523379,-151.57323746006227,59.63190317519813,-151.559942502081,59.62591226017575
-151.5571333872276,59.62491141043211,-151.57339068339022,59.63186623123375,-151.56004622923496,59.62584424383164
-151.55721523083062,59.62483612563044,-151.57354390671816,59.631829287269376,-151.5601499563889,59.62577622748752
-151.55729707443368,59.62476084082876,-151.5736971300461,59.631792343304994,-151.56025368354284,59.625708211143404
-151.5573789180367,59.62468555602709,-151.57385035337404,59.63175539934062,-151.56036052365832,59.62564148882896
-151.55746076163976,59.624610271225414,-151.57400357670198,59.63171845537624,-151.5604716287055,59.62557653940769
-151.5575426052428,59.62453498642374,-151.57415680002993,59.63168151141186,-151.56058273375268,59.62551158998642
-151.55762444884581,59.624459701622065,-151.5743100233579,59.63164456744748,-151.56069383879986,59.625446640565144
-151.55770629244887,59.62438441682039,-151.57446324668584,59.631607623483106,-151.56080494384705,59.625381691143865
-151.5577881360519,59.624309132018716,-151.57461647001378,59.631570679518724,-151.56091604889426,59.62531674172259
-151.55786997965495,59.62423384721704,-151.57476969334172,59.63153373555435,-151.56102715394144,59.62525179230132
-151.5579587355528,59.6241606865926,-151.57492291666966,59.63149679158997,-151.56113825898862,59.62518684288005
-151.558052404986,59.6240890359182,-151.5750761399976,59.63145984762559,-151.5612493640358,59.625121893458775
-151.5581460744192,59.62401738524381,-151.57522936332555,59.63142290366121,-151.56136046908298,59.625056944037496
-151.5582397438524,59.62394573456942,-151.5753825866535,59.631385959696836,-151.56147157413017,59.624991994616224
-151.5583334132856,59.623874083895025,-151.57553580998143,59.631349015732454,-151.56158267917738,59.62492704519495
-151.55842708271882,59.62380243322063,-151.57568903330937,59.63131207176808,-151.56169378422456,59.62486209577368
-151.55852075215202,59.62373078254623,-151.57584225663732,59.6312751278037,-151.56180488927174,59.6247971463524
-151.55861442158522,59.62365913187184,-151.57599547996526,59.631238183839315,-151.56191599431892,59.62473219693113
-151.55870809101842,59.62358748119745,-151.5761487032932,59.63120123987494,-151.5620270993661,59.624667247509855
-151.55880176045162,59.623515830523054,-151.57630192662117,59.63116429591056,-151.5621382044133,59.62460229808858
-151.5588954298848,59.62344417984866,-151.5764551499491,59.63112735194618,-151.56224930946047,59.62453734866731
-151.558989099318,59.62337252917426,-151.57660837327705,59.6310904079818,-151.56236041450768,59.62447239924603
-151.5590827687512,59.62330087849987,-151.576761596605,59.63105346401743,-151.56247151955486,59.62440744982476
-151.5591764381844,59.623229227825476,-151.57691481993294,59.631016520053045,-151.56258262460204,59.624342500403486
-151.5592701076176,59.62315757715108,-151.57706804326088,59.63097957608867,-151.56269372964923,59.624277550982214
-151.5593637770508,59.62308592647669,-151.57722126658882,59.63094263212429,-151.5628048346964,59.62421260156094
-151.559457446484,59.62301427580229,-151.57737448991676,59.63090568815991,-151.5629159397436,59.62414765213966
-151.5595511159172,59.6229426251279,-151.5775277132447,59.63086874419553,-151.5630270447908,59.62408270271839
-151.5596447853504,59.622870974453505,-151.57768093657265,59.63083180023116,-151.56313814983798,59.62401775329712
-151.5597384547836,59.62279932377911,-151.5778341599006,59.630794856266775,-151.56324925488516,59.623952803875845
-151.55983212421683,59.62272767310472,-151.57798738322853,59.6307579123024,-151.56336035993235,59.62388785445457
-151.55992579365002,59.62265602243032,-151.57814060655647,59.63072096833802,-151.56347146497953,59.62382290503329
